url	language	product	change	reason	supported_existing_pages	quotation_target	canonical	indexable	same_search_intent
https://adlerrochefort.com/	pt	All four products	existing homepage form	Five-field contact form plus links to detailed product forms; no risk fields in homepage form.	https://adlerrochefort.com/	/seguros/saude/#pedido ; /seguros/responsabilidade-civil-profissional/#pedido ; /seguros/habitacao/#pedido ; /seguros/auto/#pedido	https://adlerrochefort.com/	yes	Homepage navigation/general contact intent; product forms remain separate.
https://adlerrochefort.com/de/	de	All four products	existing homepage form	Five-field contact form plus links to detailed product forms; no risk fields in homepage form.	https://adlerrochefort.com/de/	/de/krankenversicherung-portugal/#angebot ; /de/hausversicherung-portugal/#angebot ; /de/berufshaftpflicht-freiberufler-portugal/#angebot ; /de/autoversicherung-portugal/#angebot	https://adlerrochefort.com/de/	yes	Homepage navigation/general contact intent; product forms remain separate.
https://adlerrochefort.com/de/autoversicherung-portugal/	de	Auto	existing detailed product form	Complete three-step Auto quotation intake; existing product page reused.	https://adlerrochefort.com/de/ ; https://adlerrochefort.com/de/autoversicherung-portugal/	https://adlerrochefort.com/de/autoversicherung-portugal/#angebot	https://adlerrochefort.com/de/autoversicherung-portugal/	yes	Existing translated product owner reused; related guides (where present) are informational, not newly created competing product pages.
https://adlerrochefort.com/de/berufshaftpflicht-freiberufler-portugal/	de	Professional / Liability	existing detailed product form	Complete three-step Professional / Liability quotation intake; existing product page reused.	https://adlerrochefort.com/de/ ; https://adlerrochefort.com/de/berufshaftpflicht-freiberufler-portugal/	https://adlerrochefort.com/de/berufshaftpflicht-freiberufler-portugal/#angebot	https://adlerrochefort.com/de/berufshaftpflicht-freiberufler-portugal/	yes	Existing translated product owner reused; related guides (where present) are informational, not newly created competing product pages.
https://adlerrochefort.com/de/hausversicherung-portugal/	de	Home	existing detailed product form	Complete three-step Home quotation intake; existing product page reused.	https://adlerrochefort.com/de/ ; https://adlerrochefort.com/de/hausversicherung-portugal/	https://adlerrochefort.com/de/hausversicherung-portugal/#angebot	https://adlerrochefort.com/de/hausversicherung-portugal/	yes	Existing translated product owner reused; related guides (where present) are informational, not newly created competing product pages.
https://adlerrochefort.com/de/krankenversicherung-portugal/	de	Health	existing detailed product form	Complete three-step Health quotation intake; existing product page reused.	https://adlerrochefort.com/de/ ; https://adlerrochefort.com/de/krankenversicherung-portugal/	https://adlerrochefort.com/de/krankenversicherung-portugal/#angebot	https://adlerrochefort.com/de/krankenversicherung-portugal/	yes	Existing translated product owner reused; related guides (where present) are informational, not newly created competing product pages.
https://adlerrochefort.com/de/lebensversicherung-portugal/	de	Life (existing specialist)	existing	Shared adult-policyholder/date/language fixes only; specialist insured-capital fields preserved.	https://adlerrochefort.com/de/lebensversicherung-portugal/		https://adlerrochefort.com/de/lebensversicherung-portugal/	yes	No new competing URL; original page and intent retained.
https://adlerrochefort.com/de/private-clients-portugal/	de	All four products / household review	existing Private Client page	Add direct Portuguese product quotation choices; preserve household review, editorial content and country navigation.	https://adlerrochefort.com/de/private-clients-portugal/	/de/krankenversicherung-portugal/#angebot ; /de/hausversicherung-portugal/#angebot ; /de/berufshaftpflicht-freiberufler-portugal/#angebot ; /de/autoversicherung-portugal/#angebot	https://adlerrochefort.com/de/private-clients-portugal/	yes	Household coordination or local positioning differs from individual product quotation intent; no new quotation page.
https://adlerrochefort.com/de/private-clients/	de	All four products / household review	existing Private Client page	Add direct Portuguese product quotation choices; preserve household review, editorial content and country navigation.	https://adlerrochefort.com/de/private-clients/	/de/krankenversicherung-portugal/#angebot ; /de/hausversicherung-portugal/#angebot ; /de/berufshaftpflicht-freiberufler-portugal/#angebot ; /de/autoversicherung-portugal/#angebot	https://adlerrochefort.com/de/private-clients/	yes	Household coordination or local positioning differs from individual product quotation intent; no new quotation page.
https://adlerrochefort.com/de/versicherung-tavira/	de	All four products / household review	existing Private Client page	Add direct Portuguese product quotation choices; preserve household review, editorial content and country navigation.	https://adlerrochefort.com/de/versicherung-tavira/	/de/krankenversicherung-portugal/#angebot ; /de/hausversicherung-portugal/#angebot ; /de/berufshaftpflicht-freiberufler-portugal/#angebot ; /de/autoversicherung-portugal/#angebot	https://adlerrochefort.com/de/versicherung-tavira/	yes	Household coordination or local positioning differs from individual product quotation intent; no new quotation page.
https://adlerrochefort.com/dk/	da	All four products	existing homepage form	Five-field contact form plus links to detailed product forms; no risk fields in homepage form.	https://adlerrochefort.com/dk/	/dk/sundhedsforsikring-portugal/#tilbud ; /dk/husforsikring-portugal/#tilbud ; /dk/bilforsikring-portugal/#tilbud ; /dk/ansvarsforsikring-portugal/#tilbud	https://adlerrochefort.com/dk/	yes	Homepage navigation/general contact intent; product forms remain separate.
https://adlerrochefort.com/dk/ansvarsforsikring-portugal/	da	Professional / Liability	existing detailed product form	Complete three-step Professional / Liability quotation intake; existing product page reused.	https://adlerrochefort.com/dk/ ; https://adlerrochefort.com/dk/ansvarsforsikring-portugal/	https://adlerrochefort.com/dk/ansvarsforsikring-portugal/#tilbud	https://adlerrochefort.com/dk/ansvarsforsikring-portugal/	yes	Existing translated product owner reused; related guides (where present) are informational, not newly created competing product pages.
https://adlerrochefort.com/dk/bilforsikring-portugal/	da	Auto	existing detailed product form	Complete three-step Auto quotation intake; existing product page reused.	https://adlerrochefort.com/dk/ ; https://adlerrochefort.com/dk/bilforsikring-portugal/	https://adlerrochefort.com/dk/bilforsikring-portugal/#tilbud	https://adlerrochefort.com/dk/bilforsikring-portugal/	yes	Existing translated product owner reused; related guides (where present) are informational, not newly created competing product pages.
https://adlerrochefort.com/dk/husforsikring-portugal/	da	Home	existing detailed product form	Complete three-step Home quotation intake; existing product page reused.	https://adlerrochefort.com/dk/ ; https://adlerrochefort.com/dk/husforsikring-portugal/	https://adlerrochefort.com/dk/husforsikring-portugal/#tilbud	https://adlerrochefort.com/dk/husforsikring-portugal/	yes	Existing translated product owner reused; related guides (where present) are informational, not newly created competing product pages.
https://adlerrochefort.com/dk/sundhedsforsikring-portugal/	da	Health	existing detailed product form	Complete three-step Health quotation intake; existing product page reused.	https://adlerrochefort.com/dk/ ; https://adlerrochefort.com/dk/sundhedsforsikring-portugal/	https://adlerrochefort.com/dk/sundhedsforsikring-portugal/#tilbud	https://adlerrochefort.com/dk/sundhedsforsikring-portugal/	yes	Existing translated product owner reused; related guides (where present) are informational, not newly created competing product pages.
